"OriginalTaxonNo" "ResolvedTaxonNo" "TaxonName" "TaxonRank" "ParentTaxonNo" "TaxonValidity" "AcceptedNumber" "AcceptedName"
"255" NA "txn:55917" "Sapindus grandifoliolus" "3" NA NA NA NA
"256" NA "txn:55919" "Viburnum ravenscragensis" "3" NA NA NA NA
"257" NA "txn:55920" "Harmsia hydrocotyloidea" "3" NA NA NA NA
"258" NA "txn:55921" "Harmsia" "5" NA NA NA NA
"259" NA "txn:55922" "Kurtziflora antherosa" "3" NA NA NA NA
"260" NA "txn:55923" "Kurtziflora" "5" NA NA NA NA
"261" NA "txn:55928" "Pinus gracilistrobus" "3" NA NA NA NA
"262" NA "txn:55929" "Coniferae" "13" NA NA NA NA
"263" NA "txn:55930" "Pinus premurrayana" "3" NA NA NA NA
"264" NA "txn:55931" "Pinus macrolepis" "3" NA NA NA NA
"265" NA "txn:55932" "Pinus wardii" "3" NA NA NA NA
"266" NA "txn:55933" "Pinus iddingsi" "3" NA NA NA NA
"267" NA "txn:55934" "Taxites olriki" "3" NA NA NA NA
"268" NA "txn:55937" "Phragmites latissima" "3" NA NA NA NA
"269" NA "txn:55938" "Cyperacites angustior" "3" NA NA NA NA
"270" NA "txn:55939" "Cyperacites giganteus" "3" NA NA NA NA
"271" NA "txn:55940" "Smilax lamarensis" "3" NA NA NA NA
"272" NA "txn:55943" "Juglans rugosa" "3" NA NA NA NA
"273" NA "txn:55944" "Juglans schimperi" "3" NA NA NA NA
"274" NA "txn:55945" "Juglans laurifolia" "3" NA NA NA NA
"275" NA "txn:55946" "Juglans crescentia" "3" NA NA NA NA
"276" NA "txn:55947" "Hicoria antiquorum" "3" NA NA NA NA
"277" NA "txn:55949" "Hicoria crescentia" "3" NA NA NA NA
"278" NA "txn:55950" "Hicoria culveri" "3" NA NA NA NA
"279" NA "txn:55951" "Myrica scottii" "3" NA NA NA NA
"280" NA "txn:55952" "Myrica wardii" "3" NA NA NA NA
"281" NA "txn:55953" "Myrica lamarensis" "3" NA NA NA NA
"282" NA "txn:55954" "Populus glandulifera" "3" NA NA NA NA
"283" NA "txn:55956" "Populus speciosa" "3" NA NA NA NA
"284" NA "txn:55957" "Populus zaddachi" "3" NA NA NA NA
"285" NA "txn:55958" "Populus xantholithensis" "3" NA NA NA NA
"286" NA "txn:55959" "Populus daphnogenoides" "3" NA NA NA NA
"287" NA "txn:55960" "Populus balsamoides" "3" NA NA NA NA
"288" NA "txn:55961" "Populus vivaria" "3" NA NA NA NA
"289" NA "txn:55962" "Salix varians" "3" NA NA NA NA
"290" NA "txn:55963" "Salix angusta" "3" NA NA NA NA
"291" NA "txn:55964" "Salix lavateri" "3" NA NA NA NA
"292" NA "txn:55965" "Salix elongata" "3" NA NA NA NA
"293" NA "txn:55966" "Betula iddingsi" "3" NA NA NA NA
"294" NA "txn:55967" "Corylus macquarryi" "3" NA NA NA NA
"295" NA "txn:55968" "Fagus antipofii" "3" NA NA NA NA
"296" NA "txn:55970" "Fagus undulata" "3" NA NA NA NA
"297" NA "txn:55971" "Castanea pulchella" "3" NA NA NA NA
"298" NA "txn:55973" "Quercus grossidentata" "3" NA NA NA NA
"299" NA "txn:55974" "Quercus consimilis" "3" NA NA NA NA
"300" NA "txn:55975" "Quercus magnifolia" "3" NA NA NA NA
"301" NA "txn:55976" "Quercus furcinervis" "3" NA NA NA NA
"302" NA "txn:55977" "Quercus furcinervis americana" "2" NA NA NA NA
"303" NA "txn:55978" "Quercus weedii" "3" NA NA NA NA
"304" NA "txn:55979" "Quercus olafseni" "3" NA NA NA NA
"305" NA "txn:55980" "Quercus yanceyi" "3" NA NA NA NA
"306" NA "txn:55981" "Quercus culveri" "3" NA NA NA NA
"307" NA "txn:55982" "Quercus hesperia" "3" NA NA NA NA
"308" NA "txn:55985" "Ulmus minima" "3" NA NA NA NA
"309" NA "txn:55986" "Ulmus rhaminfolia" "3" NA NA NA NA
"310" NA "txn:55987" "Planera longifolia" "3" NA NA NA NA
"311" NA "txn:55989" "Ficus deformata" "3" NA NA NA NA
"312" NA "txn:55990" "Ficus ungeri" "3" NA NA NA NA
"313" NA "txn:56007" "Ficus shastensis" "3" NA NA NA NA
"314" NA "txn:56008" "Ficus tiliaefolia" "3" NA NA NA NA
"315" NA "txn:56009" "Ficus asiminaefolia" "3" NA NA NA NA
"316" NA "txn:56010" "Artocarpus quercoides" "3" NA NA NA NA
"317" NA "txn:56011" "Magnolia californica" "3" NA NA NA NA
"318" NA "txn:56012" "Magnolia spectabilis" "3" NA NA NA NA
"319" NA "txn:56013" "Magnolia microphylla" "3" NA NA NA NA
"320" NA "txn:56014" "Magnolia culveri" "3" NA NA NA NA
"321" NA "txn:56015" "Magnolia pollardi" "3" NA NA NA NA
"322" NA "txn:56016" "Laurus primigenia" "3" NA NA NA NA
"323" NA "txn:56018" "Laurus perdita" "3" NA NA NA NA
"324" NA "txn:56019" "Laurus montana" "3" NA NA NA NA
"325" NA "txn:56020" "Laurus princeps" "3" NA NA NA NA
"326" NA "txn:56021" "Laurus californica" "3" NA NA NA NA
"327" NA "txn:56023" "Malapoenna lamarensis" "3" NA NA NA NA
"328" NA "txn:56024" "Litsea cuneata" "3" NA NA NA NA
"329" NA "txn:56026" "Cinnamomum spectabile" "3" NA NA NA NA
"330" NA "txn:56027" "Platanus guillelmae" "3" NA NA NA NA
"331" NA "txn:56028" "Platanus montana" "3" NA NA NA NA
"332" NA "txn:56029" "Acacia macrosperma" "3" NA NA NA NA
"333" NA "txn:56030" "Acacia lamarensis" "3" NA NA NA NA
"334" NA "txn:56031" "Acacia wardii" "3" NA NA NA NA
"335" NA "txn:56032" "Leguminosites lesquereuxiana" "3" NA NA NA NA
